City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,edinburgh of the seven seas,-37.0676,-12.3116,16.23,74,17,6.85,SH,1710430753
1,blackmans bay,-43.0167,147.3167,10.07,77,29,2.7,AU,1710430753
2,kailua-kona,19.6406,-155.9956,22.98,86,0,1.54,US,1710430753
3,albany,42.6001,-73.9662,15.88,54,88,0.89,US,1710430753
4,yellowknife,62.456,-114.3525,-7.62,88,20,1.54,CA,1710430754
5,ishikawa,26.4233,127.8214,19.41,75,20,2.06,JP,1710430754
6,lamar,33.6668,-95.5836,22.77,91,100,5.14,US,1710430754
7,monrovia,6.3005,-10.7969,33.87,70,76,4.52,LR,1710430755
8,la junta,37.985,-103.5438,5.16,88,100,6.69,US,1710430755
9,longyearbyen,78.2186,15.6401,-21.09,49,20,6.17,SJ,1710430755
10,georgetown,5.4112,100.3354,29.99,70,20,2.68,MY,1710430684
11,port elizabeth,-33.918,25.5701,23.94,64,20,3.6,ZA,1710430756
12,novodvinsk,64.4165,40.8122,1.86,99,100,5.45,RU,1710430756
13,adamstown,-25.066,-130.1015,25.19,82,100,5.15,PN,1710430756
14,lazaro cardenas,17.9583,-102.2,26.69,54,14,1.49,MX,1710430756
15,afaahiti,-17.75,-149.2833,25.93,79,98,5.71,PF,1710430757
16,waitangi,-43.9535,-176.5597,12.36,66,32,1.96,NZ,1710430757
17,griffith,41.5284,-87.4237,13.96,92,40,4.63,US,1710430757
18,broome,42.2506,-75.833,14.99,58,0,1.79,US,1710430757
19,severo-yeniseyskiy,60.3725,93.0408,-9.12,87,100,4.47,RU,1710430758
20,i-n-salah,27.1935,2.4607,28.91,9,0,5.09,DZ,1710430758
21,tirumullaivasal,11.2333,79.8333,25.43,71,48,5.19,IN,1710430758
22,kodiak,57.79,-152.4072,-3.27,74,100,5.14,US,1710430759
23,al marj,32.488,20.8317,12.89,73,49,4.24,LY,1710430759
24,hithadhoo,-0.6,73.0833,28.36,73,7,4.39,MV,1710430759
25,constantia,44.1833,28.65,6.38,91,100,4.87,RO,1710430610
26,iskateley,67.6803,53.1512,-14.43,96,65,3.13,RU,1710430760
27,bolivar,37.6145,-93.4105,21.74,80,100,1.34,US,1710430760
28,barra de santo antonio,-9.4047,-35.5072,30.6,75,99,3.87,BR,1710430760
29,olonkinbyen,70.9221,-8.7187,-8.61,73,100,9.76,SJ,1710430761
30,orcopampa,-15.2661,-72.3417,14.5,58,73,2.64,PE,1710430761
31,badger,64.8,-147.5333,-15.36,81,100,1.54,US,1710430761
32,darnah,32.767,22.6367,15.42,70,37,7.08,LY,1710430761
33,west island,-12.1568,96.8225,26.99,78,100,3.6,CC,1710430762
34,klyuchi,52.2667,79.1667,-12.15,94,88,3.72,RU,1710430762
35,bandarban,22.1965,92.2262,23.84,98,18,1.2,BD,1710430762
36,estevan,49.1334,-102.9842,0.11,93,100,6.69,CA,1710430763
37,invercargill,-46.4,168.35,7.79,87,100,4.92,NZ,1710430592
38,tazovsky,67.4667,78.7,-15.94,94,100,5.21,RU,1710430763
39,horta,38.5333,-28.6333,17.8,89,20,9.83,PT,1710430763
40,san antonio de pale,-1.4014,5.6325,27.64,74,100,7.19,GQ,1710430764
41,prokop'yevsk,53.9059,86.719,-9.57,72,77,3.69,RU,1710430497
42,ola,59.5833,151.2833,-7.62,82,100,6.4,RU,1710430764
43,college,64.8569,-147.8028,-15.31,73,100,1.54,US,1710430764
44,iqaluit,63.7506,-68.5145,-16.15,72,100,0.0,CA,1710430765
45,pathein,16.7833,94.7333,24.39,81,86,6.04,MM,1710430765
46,port alfred,-33.5906,26.891,22.88,75,25,0.45,ZA,1710430765
47,port-aux-francais,-49.35,70.2167,6.94,97,100,9.39,TF,1710430765
48,crucecita,-28.95,-58.9833,38.42,37,100,5.53,AR,1710430766
49,puerto natales,-51.7236,-72.4875,7.25,87,100,9.77,CL,1710430766
50,kisumu,-0.1022,34.7617,29.89,45,20,2.57,KE,1710430766
51,kingston,17.997,-76.7936,31.53,59,20,2.06,JM,1710430766
